sample_id,asset_type,label,defect_type,severity,source_image,image_path,mask_path,seed,synthetic
Generated image 1_normal,Generated image 1,normal,none,none,Generated image 1.png,normal/Generated image 1_normal.png,,42,True
Generated image 1_crack_000,Generated image 1,anomaly,crack,low,Generated image 1.png,anomaly/crack/Generated image 1_crack_000.png,masks/crack/Generated image 1_crack_000_mask.png,90075561,True
Generated image 1_crack_001,Generated image 1,anomaly,crack,medium,Generated image 1.png,anomaly/crack/Generated image 1_crack_001.png,masks/crack/Generated image 1_crack_001_mask.png,484381531,True
Generated image 1_crack_002,Generated image 1,anomaly,crack,high,Generated image 1.png,anomaly/crack/Generated image 1_crack_002.png,masks/crack/Generated image 1_crack_002_mask.png,2055564847,True
Generated image 1_crack_003,Generated image 1,anomaly,crack,low,Generated image 1.png,anomaly/crack/Generated image 1_crack_003.png,masks/crack/Generated image 1_crack_003_mask.png,2004552373,True
Generated image 1_crack_004,Generated image 1,anomaly,crack,medium,Generated image 1.png,anomaly/crack/Generated image 1_crack_004.png,masks/crack/Generated image 1_crack_004_mask.png,3173195511,True
Generated image 1_crack_005,Generated image 1,anomaly,crack,high,Generated image 1.png,anomaly/crack/Generated image 1_crack_005.png,masks/crack/Generated image 1_crack_005_mask.png,4281664290,True
Generated image 1_crack_006,Generated image 1,anomaly,crack,low,Generated image 1.png,anomaly/crack/Generated image 1_crack_006.png,masks/crack/Generated image 1_crack_006_mask.png,2665287844,True
Generated image 1_crack_007,Generated image 1,anomaly,crack,medium,Generated image 1.png,anomaly/crack/Generated image 1_crack_007.png,masks/crack/Generated image 1_crack_007_mask.png,2729929594,True
Generated image 1_crack_008,Generated image 1,anomaly,crack,high,Generated image 1.png,anomaly/crack/Generated image 1_crack_008.png,masks/crack/Generated image 1_crack_008_mask.png,2002882327,True
Generated image 1_crack_009,Generated image 1,anomaly,crack,low,Generated image 1.png,anomaly/crack/Generated image 1_crack_009.png,masks/crack/Generated image 1_crack_009_mask.png,1176605455,True
Generated image 1_crack_010,Generated image 1,anomaly,crack,medium,Generated image 1.png,anomaly/crack/Generated image 1_crack_010.png,masks/crack/Generated image 1_crack_010_mask.png,2792471458,True
Generated image 1_crack_011,Generated image 1,anomaly,crack,high,Generated image 1.png,anomaly/crack/Generated image 1_crack_011.png,masks/crack/Generated image 1_crack_011_mask.png,127996778,True
Generated image 1_crack_012,Generated image 1,anomaly,crack,low,Generated image 1.png,anomaly/crack/Generated image 1_crack_012.png,masks/crack/Generated image 1_crack_012_mask.png,3497017419,True
Generated image 1_crack_013,Generated image 1,anomaly,crack,medium,Generated image 1.png,anomaly/crack/Generated image 1_crack_013.png,masks/crack/Generated image 1_crack_013_mask.png,2768260277,True
Generated image 1_crack_014,Generated image 1,anomaly,crack,high,Generated image 1.png,anomaly/crack/Generated image 1_crack_014.png,masks/crack/Generated image 1_crack_014_mask.png,3943091213,True
Generated image 1_crack_015,Generated image 1,anomaly,crack,low,Generated image 1.png,anomaly/crack/Generated image 1_crack_015.png,masks/crack/Generated image 1_crack_015_mask.png,2262131112,True
Generated image 1_crack_016,Generated image 1,anomaly,crack,medium,Generated image 1.png,anomaly/crack/Generated image 1_crack_016.png,masks/crack/Generated image 1_crack_016_mask.png,857761754,True
Generated image 1_crack_017,Generated image 1,anomaly,crack,high,Generated image 1.png,anomaly/crack/Generated image 1_crack_017.png,masks/crack/Generated image 1_crack_017_mask.png,1733548381,True
Generated image 1_crack_018,Generated image 1,anomaly,crack,low,Generated image 1.png,anomaly/crack/Generated image 1_crack_018.png,masks/crack/Generated image 1_crack_018_mask.png,1001308557,True
Generated image 1_crack_019,Generated image 1,anomaly,crack,medium,Generated image 1.png,anomaly/crack/Generated image 1_crack_019.png,masks/crack/Generated image 1_crack_019_mask.png,1335666377,True
Generated image 1_oil_leak_000,Generated image 1,anomaly,oil_leak,low,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_000.png,masks/oil_leak/Generated image 1_oil_leak_000_mask.png,2817238885,True
Generated image 1_oil_leak_001,Generated image 1,anomaly,oil_leak,medium,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_001.png,masks/oil_leak/Generated image 1_oil_leak_001_mask.png,3006449262,True
Generated image 1_oil_leak_002,Generated image 1,anomaly,oil_leak,high,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_002.png,masks/oil_leak/Generated image 1_oil_leak_002_mask.png,1265038011,True
Generated image 1_oil_leak_003,Generated image 1,anomaly,oil_leak,low,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_003.png,masks/oil_leak/Generated image 1_oil_leak_003_mask.png,3775251852,True
Generated image 1_oil_leak_004,Generated image 1,anomaly,oil_leak,medium,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_004.png,masks/oil_leak/Generated image 1_oil_leak_004_mask.png,1182301318,True
Generated image 1_oil_leak_005,Generated image 1,anomaly,oil_leak,high,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_005.png,masks/oil_leak/Generated image 1_oil_leak_005_mask.png,3639559726,True
Generated image 1_oil_leak_006,Generated image 1,anomaly,oil_leak,low,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_006.png,masks/oil_leak/Generated image 1_oil_leak_006_mask.png,3611913491,True
Generated image 1_oil_leak_007,Generated image 1,anomaly,oil_leak,medium,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_007.png,masks/oil_leak/Generated image 1_oil_leak_007_mask.png,4037211317,True
Generated image 1_oil_leak_008,Generated image 1,anomaly,oil_leak,high,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_008.png,masks/oil_leak/Generated image 1_oil_leak_008_mask.png,1530878232,True
Generated image 1_oil_leak_009,Generated image 1,anomaly,oil_leak,low,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_009.png,masks/oil_leak/Generated image 1_oil_leak_009_mask.png,1608602011,True
Generated image 1_oil_leak_010,Generated image 1,anomaly,oil_leak,medium,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_010.png,masks/oil_leak/Generated image 1_oil_leak_010_mask.png,4040975359,True
Generated image 1_oil_leak_011,Generated image 1,anomaly,oil_leak,high,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_011.png,masks/oil_leak/Generated image 1_oil_leak_011_mask.png,655056583,True
Generated image 1_oil_leak_012,Generated image 1,anomaly,oil_leak,low,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_012.png,masks/oil_leak/Generated image 1_oil_leak_012_mask.png,2782279472,True
Generated image 1_oil_leak_013,Generated image 1,anomaly,oil_leak,medium,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_013.png,masks/oil_leak/Generated image 1_oil_leak_013_mask.png,2035585348,True
Generated image 1_oil_leak_014,Generated image 1,anomaly,oil_leak,high,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_014.png,masks/oil_leak/Generated image 1_oil_leak_014_mask.png,3804121223,True
Generated image 1_oil_leak_015,Generated image 1,anomaly,oil_leak,low,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_015.png,masks/oil_leak/Generated image 1_oil_leak_015_mask.png,1334840998,True
Generated image 1_oil_leak_016,Generated image 1,anomaly,oil_leak,medium,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_016.png,masks/oil_leak/Generated image 1_oil_leak_016_mask.png,2054958162,True
Generated image 1_oil_leak_017,Generated image 1,anomaly,oil_leak,high,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_017.png,masks/oil_leak/Generated image 1_oil_leak_017_mask.png,4159753319,True
Generated image 1_oil_leak_018,Generated image 1,anomaly,oil_leak,low,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_018.png,masks/oil_leak/Generated image 1_oil_leak_018_mask.png,1747272918,True
Generated image 1_oil_leak_019,Generated image 1,anomaly,oil_leak,medium,Generated image 1.png,anomaly/oil_leak/Generated image 1_oil_leak_019.png,masks/oil_leak/Generated image 1_oil_leak_019_mask.png,1593253273,True
Generated image 1_corrosion_000,Generated image 1,anomaly,corrosion,low,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_000.png,masks/corrosion/Generated image 1_corrosion_000_mask.png,4179569871,True
Generated image 1_corrosion_001,Generated image 1,anomaly,corrosion,medium,Generated image 1.png,anomaly/corrosion/Generated image 1_corrosion_001.png,masks/corrosion/Generated image 1_corrosion_001_mask.png,1538155744,True
